Scene,Setup,Map
81,0,0,009B,0000,Grotto,,-1425,0,810,0000,E000,0000
81,0,0,009B,0003,Grotto,,-4030,-700,13860,0000,8000,0000
81,0,0,009B,0022,Grotto,,-270,-500,12350,0000,9555,0000
81,0,0,009B,02E1,Grotto,,-4945,-300,2835,0000,1555,000B
81,0,0,009B,02E4,Grotto,,-7870,-300,6920,0000,0000,0005
81,0,0,009B,02E5,Grotto,,2060,20,-170,0000,C000,0001
81,0,0,009B,02E6,Grotto,,-4990,-700,13820,0000,EAAB,0002
81,0,0,009B,10FF,Grotto,,-4450,-300,-425,0000,0000,0000
81,1,0,009B,0003,Grotto,,-4030,-700,13860,0000,8000,0000
81,1,0,009B,0000,Grotto,,-1425,0,810,0000,E000,0000
81,1,0,009B,0022,Grotto,,-270,-500,12350,0000,9555,0000
81,1,0,009B,02E4,Grotto,,-7870,-300,6920,0000,0000,0005
81,1,0,009B,02E6,Grotto,,-4990,-700,13820,0000,EAAB,0002
81,1,0,009B,02E1,Grotto,,-4945,-300,2835,0000,1555,000B
81,1,0,009B,02E5,Grotto,,2060,20,-170,0000,C000,0001
81,1,0,009B,10FF,Grotto,,-4450,-300,-425,0000,0000,0000
81,2,0,009B,0000,Grotto,,-1425,0,810,0000,E000,0000
81,2,0,009B,0003,Grotto,,-4030,-700,13860,0000,8000,0000
81,2,0,009B,0022,Grotto,,-270,-500,12350,0000,9555,0000
81,2,0,009B,02E1,Grotto,,-4945,-300,2835,0000,1555,000B
81,2,0,009B,02E4,Grotto,,-7870,-300,6920,0000,0000,0005
81,2,0,009B,02E5,Grotto,,2060,20,-170,0000,C000,0001
81,2,0,009B,02E6,Grotto,,-4990,-700,13820,0000,EAAB,0002
81,2,0,009B,10FF,Grotto,,-4450,-300,-425,0000,0000,0000
82,0,0,009B,0028,Grotto,,860,80,-260,0000,0000,0000
82,0,0,009B,02E7,Grotto,,-400,0,400,0000,0000,0003
82,1,0,009B,0028,Grotto,,860,80,-260,0000,0000,0000
82,1,0,009B,02E7,Grotto,,-400,0,400,0000,0000,0003
82,2,0,009B,02E7,Grotto,,-400,0,400,0000,0000,0003
82,2,0,009B,0028,Grotto,,860,80,-260,0000,0000,0000
82,3,0,009B,0028,Grotto,,860,80,-260,0000,0000,0000
82,3,0,009B,02E7,Grotto,,-400,0,400,0000,0000,0003
84,0,0,009B,0029,Grotto,,360,570,130,0000,8000,0000
84,0,0,009B,01EB,Grotto,,-1630,100,-130,0000,0000,000A
84,0,0,009B,10E6,Grotto,,670,570,-365,0000,E000,0006
84,2,0,009B,0029,Grotto,,360,570,130,0000,8000,0000
84,2,0,009B,01EB,Grotto,,-1630,100,-130,0000,0000,000A
